,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,^SP500-25Adj_Close,PLNTAdj_Close,XPOFAdj_Close,RSI
202,2022-08-03,LTH,189.3885,172.8611,141.1626,1.0703,1.1731,0.5184,0.3224,0.0475,0.1346,-0.0871,0.3451,0.1868,0.1583,3.6387,2.1995,156.0638,14.899999618530273,15.5600004196167,14.800000190734863,15.520000457763672,15.520000457763672,271900,1311.18994140625,81.22000122070312,16.030000686645508,93.52517047781816
203,2022-08-04,LTH,169.9244,181.2928,161.311,1.0709,1.1702,0.5698,0.3389,0.0933,0.1443,-0.051,0.3964,0.1905,0.2059,3.9594,2.2851,106.8094,15.529999732971191,16.100000381469727,15.274999618530273,15.399999618530273,15.399999618530273,195500,1318.300048828125,80.29000091552734,16.540000915527344,82.92676875363442
204,2022-08-05,LTH,97.4624,142.3893,129.1557,1.1039,1.1957,0.5906,0.3199,0.1338,0.1478,-0.014,0.4321,0.1809,0.2511,4.0659,2.1351,44.2837,15.100000381469727,15.539999961853027,15.100000381469727,15.399999618530273,15.399999618530273,107000,1296.449951171875,80.25,15.800000190734863,89.47362256959724
205,2022-08-08,LTH,121.3926,171.0595,168.3228,1.1289,1.2072,0.6304,0.3355,0.1859,0.1599,0.026,0.491,0.1919,0.2991,4.2896,2.2082,112.2931,15.399999618530273,16.260000228881836,15.399999618530273,15.850000381469727,15.850000381469727,365100,1300.2900390625,81.08999633789062,15.960000038146973,91.30429975183772
206,2022-08-09,LTH,56.1861,119.1562,125.1893,1.1243,1.1234,0.5824,0.2368,0.2147,0.151,0.0637,0.494,0.1559,0.3381,3.9339,1.5492,-30.8263,15.850000381469727,15.850000381469727,15.020000457763672,15.380000114440918,15.380000114440918,209100,1280.3199462890625,76.44999694824219,15.579999923706055,65.49705058427821
207,2022-08-10,LTH,-28.7656,63.5638,75.2525,1.0825,1.1586,0.5374,0.1503,0.2437,0.144,0.0997,0.4996,0.1292,0.3704,3.6033,0.9783,-149.0271,14.5,15.5,13.604999542236328,15.489999771118164,15.489999771118164,624900,1317.1099853515625,77.11000061035156,16.170000076293945,48.695624050473356
208,2022-08-11,LTH,-63.9159,41.3916,56.4487,1.0247,1.0779,0.4093,0.0055,0.2493,0.1197,0.1296,0.4552,0.0678,0.3874,2.7365,0.0356,-101.9318,15.0,15.154999732971191,13.869999885559082,14.949999809265137,14.949999809265137,822900,1308.4100341796875,74.70999908447266,16.290000915527344,35.66880180286891
209,2022-08-12,LTH,12.1974,85.1161,105.2387,1.0448,1.1306,0.3116,-0.0725,0.2608,0.105,0.1559,0.4311,0.035,0.3961,2.0761,-0.4737,2.9284,14.960000038146973,15.670000076293945,14.819999694824219,15.149999618530273,15.149999618530273,504100,1338.449951171875,76.69000244140625,19.299999237060547,42.937854933781615
210,2022-08-15,LTH,-23.5648,69.996,96.2075,1.0299,1.1882,0.2153,-0.1221,0.2704,0.0916,0.1788,0.4074,0.009,0.3984,1.4304,-0.7982,14.9597,14.850000381469727,15.3100004196167,14.850000381469727,15.149999618530273,15.149999618530273,303400,1346.5999755859375,78.25,19.899999618530273,23.484813455480733
211,2022-08-16,LTH,-26.8179,69.0899,100.5472,1.029,1.1673,0.1538,-0.0972,0.2829,0.0833,0.1996,0.3945,-0.0031,0.3976,1.0188,-0.6359,52.8053,15.170000076293945,15.319999694824219,14.84000015258789,15.279999732971191,15.279999732971191,200800,1361.280029296875,78.75,20.479999542236328,44.897937337729324
212,2022-08-17,LTH,-68.6432,43.2898,81.4208,0.9549,1.1624,0.0435,-0.1276,0.2765,0.0615,0.215,0.3432,-0.0435,0.3867,0.2879,-0.8399,-30.08,15.119999885559082,15.300000190734863,14.680000305175781,14.819999694824219,14.819999694824219,277100,1346.02001953125,77.80999755859375,20.09000015258789,24.812025762114885
213,2022-08-18,LTH,-68.7831,30.8556,76.2409,0.9688,1.1926,-0.0366,-0.1108,0.2737,0.047,0.2267,0.3071,-0.0637,0.3708,-0.2422,-0.733,-98.281,15.0600004196167,15.0600004196167,14.65999984741211,14.920000076293945,14.920000076293945,209900,1345.5,78.2300033569336,19.420000076293945,48.31462239333585
214,2022-08-19,LTH,-151.8885,-43.7237,28.6883,0.9266,1.0885,-0.1707,-0.1993,0.2468,0.016,0.2307,0.2235,-0.1179,0.3413,-1.1351,-1.3337,-165.8364,14.720000267028809,14.720000267028809,14.0600004196167,14.270000457763672,14.270000457763672,233500,1317.25,77.66000366210938,18.549999237060547,17.164214158218826
215,2022-08-22,LTH,-175.089,-87.5271,3.586,0.8883,1.0461,-0.2967,-0.2785,0.2152,-0.0124,0.2276,0.1403,-0.1609,0.3011,-1.9829,-1.8873,-108.4911,13.989999771118164,14.265000343322754,13.859999656677246,14.079999923706055,14.079999923706055,285000,1279.800048828125,74.75,18.190000534057617,15.032705404526027
216,2022-08-23,LTH,-138.8688,-103.5656,-7.1435,0.8992,0.9893,-0.415,-0.3564,0.1774,-0.0402,0.2176,0.0535,-0.1981,0.2516,-2.793,-2.4488,-86.1682,14.270000457763672,14.40999984741211,13.609999656677246,13.829999923706055,13.829999923706055,296000,1283.9100341796875,76.20999908447266,18.40999984741211,6.060627078214566
217,2022-08-24,LTH,-114.4242,-111.9836,-18.9002,0.8851,0.9455,-0.5168,-0.3839,0.1388,-0.063,0.2018,-0.0247,-0.221,0.1964,-3.505,-2.6746,-78.7815,13.9399995803833,14.15999984741211,13.65999984741211,13.710000038146973,13.710000038146973,306300,1288.68994140625,76.81999969482422,19.09000015258789,7.633614460901171
218,2022-08-25,LTH,-98.0073,-117.5144,-31.2002,0.9117,0.9478,-0.5915,-0.382,0.1012,-0.0805,0.1817,-0.092,-0.2307,0.1387,-4.0451,-2.6947,-95.3288,13.880000114440918,14.079999923706055,13.510000228881836,13.630000114440918,13.630000114440918,294100,1305.3399658203125,77.45999908447266,18.950000762939453,0.0
219,2022-08-26,LTH,-128.1897,-163.9956,-77.9999,0.8607,0.9348,-0.7036,-0.4075,0.0459,-0.1086,0.1545,-0.1908,-0.2636,0.0728,-4.8684,-2.9285,-156.7727,13.699999809265137,13.755000114440918,12.984999656677246,13.039999961853027,13.039999961853027,270500,1254.7099609375,74.63999938964844,18.40999984741211,0.0
220,2022-08-29,LTH,-171.6973,-223.6123,-150.8258,0.8139,0.8782,-0.8505,-0.4968,-0.0292,-0.147,0.1178,-0.3226,-0.3163,-0.0063,-5.9813,-3.664,-138.0568,12.899999618530273,12.920000076293945,12.25,12.329999923706055,12.329999923706055,812200,1247.9100341796875,73.06999969482422,18.649999618530273,0.0
221,2022-08-30,LTH,-168.1311,-243.081,-190.8001,0.767,0.8567,-1.017,-0.6133,-0.1183,-0.1889,0.0706,-0.4709,-0.3717,-0.0992,-7.2959,-4.6646,-110.0148,12.520000457763672,12.550000190734863,11.640000343322754,11.720000267028809,11.720000267028809,638100,1234.06005859375,69.98999786376953,18.5,0.0
222,2022-08-31,LTH,-129.9294,-214.9108,-192.5705,0.7996,0.8281,-1.0931,-0.6341,-0.1926,-0.2105,0.018,-0.5713,-0.3777,-0.1936,-7.9858,-4.9448,-84.7091,11.84000015258789,12.020000457763672,11.5,11.850000381469727,11.850000381469727,439700,1221.06005859375,67.75,18.329999923706055,6.132081200873955
223,2022-09-01,LTH,-110.1347,-189.3758,-194.5129,0.7875,0.8053,-1.1321,-0.6,-0.2619,-0.2238,-0.038,-0.6515,-0.3663,-0.2852,-8.421,-4.787,-79.5262,11.710000038146973,11.770000457763672,11.270000457763672,11.75,11.75,538500,1231.6300048828125,65.76000213623047,18.770000457763672,6.074770728263914
224,2022-09-02,LTH,-80.1318,-153.2709,-171.4475,0.8101,0.7972,-1.1479,-0.527,-0.3298,-0.2334,-0.0964,-0.722,-0.3495,-0.3726,-8.6968,-4.2958,-49.1431,12.0600004196167,12.109999656677246,11.520000457763672,11.5600004196167,11.5600004196167,423600,1221.300048828125,65.80999755859375,18.799999237060547,7.471271927661064
225,2022-09-06,LTH,-44.4858,-115.9937,-134.8611,0.8643,0.8273,-1.0415,-0.3122,-0.3672,-0.2167,-0.1505,-0.7204,-0.2783,-0.4421,-7.9923,-2.5672,108.1392,11.859999656677246,12.255000114440918,11.829999923706055,12.170000076293945,12.170000076293945,611500,1217.260009765625,64.83999633789062,19.309999465942383,45.1219540561412
226,2022-09-07,LTH,-8.4453,-87.9179,-104.4361,0.9082,0.8458,-0.8602,-0.0624,-0.3853,-0.1878,-0.1975,-0.6798,-0.1901,-0.4897,-6.6598,-0.5132,124.6787,12.010000228881836,12.649999618530273,12.010000228881836,12.5600004196167,12.5600004196167,714800,1254.699951171875,67.83000183105469,19.84000015258789,79.57746857240335
227,2022-09-08,LTH,38.3118,-65.8875,-80.5349,0.9314,0.8228,-0.6361,0.1401,-0.3928,-0.1562,-0.2365,-0.6235,-0.1071,-0.5164,-4.9551,1.1462,109.6377,12.350000381469727,13.045000076293945,12.25,12.770000457763672,12.770000457763672,317100,1265.8499755859375,69.8499984741211,19.799999237060547,80.66666920979817
228,2022-09-09,LTH,119.4444,-33.3531,-43.8183,0.9758,0.8636,-0.35,0.3445,-0.379,-0.114,-0.265,-0.53,-0.0109,-0.5191,-2.7305,2.7787,123.974,13.010000228881836,13.34000015258789,12.949999809265137,13.300000190734863,13.300000190734863,274000,1289.969970703125,71.27999877929688,19.889999389648438,90.15545884844529
229,2022-09-12,LTH,141.8656,-17.6189,-29.7106,1.0291,0.8714,-0.0836,0.4578,-0.3614,-0.0771,-0.2843,-0.4411,0.0624,-0.5035,-0.6518,3.6328,99.3884,13.399999618530273,13.649999618530273,13.149999618530273,13.420000076293945,13.420000076293945,355600,1307.3299560546875,71.70999908447266,19.989999771118164,100.0
