,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
4178,2010-06-28,ETD,-84.0128,-98.2704,-130.4433,0.8553,0.803,-0.3647,-0.1682,-0.5233,-0.1046,-0.4187,-0.5712,-0.0357,-0.5355,-3.8717,-1.842,-41.7629
4179,2010-06-25,ETD,-109.6951,-110.8509,-140.8406,0.8994,0.8335,-0.363,-0.1939,-0.4996,-0.1071,-0.3925,-0.5646,-0.0381,-0.5266,-3.8164,-2.0987,-91.7324
4180,2010-06-24,ETD,-128.9169,-116.5794,-144.8266,0.898,0.7722,-0.368,-0.234,-0.4786,-0.1129,-0.3657,-0.566,-0.0489,-0.517,-3.833,-2.5066,-120.97
4181,2010-06-23,ETD,-104.6923,-99.7861,-133.2807,1.003,0.8019,-0.3094,-0.2059,-0.4436,-0.1061,-0.3375,-0.5346,-0.0298,-0.5048,-3.1817,-2.1678,-74.0553
4182,2010-06-22,ETD,-124.8253,-111.3895,-142.9987,0.9932,0.7663,-0.3104,-0.2394,-0.4255,-0.1145,-0.311,-0.5434,-0.046,-0.4973,-3.1662,-2.5059,-135.3655
4183,2010-06-21,ETD,-67.2506,-98.9139,-134.3971,0.9722,0.8041,-0.2679,-0.1688,-0.3931,-0.1107,-0.2824,-0.5195,-0.0337,-0.4858,-2.7016,-1.7467,-88.3941
4184,2010-06-18,ETD,-45.6355,-96.0001,-132.1588,0.9394,0.8001,-0.2638,-0.0699,-0.3652,-0.1105,-0.2547,-0.5058,-0.0283,-0.4774,-2.6339,-0.718,-70.5359
4185,2010-06-17,ETD,-53.803,-105.099,-139.1958,0.8714,0.7843,-0.2982,0.0279,-0.3398,-0.1128,-0.2271,-0.4987,-0.0284,-0.4703,-2.951,0.2856,-102.1707
4186,2010-06-16,ETD,-31.4948,-99.7946,-133.5363,0.8917,0.8441,-0.345,0.1112,-0.312,-0.1131,-0.1989,-0.4865,-0.0233,-0.4632,-3.3827,1.1289,-59.9911
4187,2010-06-15,ETD,4.3093,-80.1903,-116.6028,0.9351,0.8644,-0.4072,0.1278,-0.2855,-0.1149,-0.1706,-0.4783,-0.0209,-0.4574,-3.9582,1.2896,41.3787
4188,2010-06-14,ETD,36.9688,-51.6504,-94.627,0.9035,0.9796,-0.5016,0.0134,-0.2703,-0.1285,-0.1419,-0.4996,-0.0474,-0.4522,-4.8469,0.1348,133.6082
4189,2010-06-11,ETD,-35.3376,-110.7222,-140.8858,0.8584,0.9068,-0.6264,-0.2181,-0.2648,-0.155,-0.1098,-0.55,-0.1097,-0.4403,-6.0292,-2.2057,92.8489
4190,2010-06-10,ETD,-67.1431,-151.5366,-169.6656,0.8851,0.8801,-0.7005,-0.4282,-0.2449,-0.1739,-0.071,-0.5746,-0.1617,-0.4129,-6.6927,-4.3057,-1.2565
4191,2010-06-09,ETD,-107.3363,-206.1855,-204.0703,0.8382,0.8272,-0.7071,-0.546,-0.2115,-0.184,-0.0275,-0.5717,-0.1993,-0.3724,-6.683,-5.4212,-62.6598
4192,2010-06-08,ETD,-171.9909,-269.7201,-236.6748,0.8165,0.7839,-0.598,-0.5233,-0.1542,-0.1727,0.0185,-0.5118,-0.1892,-0.3226,-5.5633,-5.0713,-115.6825
4193,2010-06-07,ETD,-198.2956,-235.368,-205.464,0.8688,0.8361,-0.4252,-0.4039,-0.0822,-0.1438,0.0616,-0.41,-0.1347,-0.2753,-3.8846,-3.7981,-124.8919
4194,2010-06-04,ETD,-183.4615,-184.6964,-169.9575,0.9325,0.8433,-0.2707,-0.2527,-0.0191,-0.1167,0.0976,-0.3191,-0.0774,-0.2417,-2.438,-2.3191,-142.7819
4195,2010-06-03,ETD,-62.8068,-90.2251,-115.3913,0.9611,0.8967,-0.1569,-0.0876,0.0304,-0.0964,0.1268,-0.2515,-0.0292,-0.2223,-1.3983,-0.7907,-53.3094
4196,2010-06-02,ETD,-97.6797,-113.6479,-130.4216,0.9309,0.8057,-0.1472,-0.0488,0.052,-0.0989,0.1509,-0.2465,-0.0315,-0.215,-1.3076,-0.4394,-99.7166
4197,2010-06-01,ETD,-76.9411,-92.9108,-119.0038,0.9076,0.7523,-0.1282,0.0068,0.0797,-0.0959,0.1756,-0.2272,-0.02,-0.2071,-1.1347,0.0609,-81.475
4198,2010-05-28,ETD,55.6364,-10.9945,-48.6539,0.9892,0.808,-0.0839,0.0866,0.1145,-0.0851,0.1996,-0.1894,0.0127,-0.2021,-0.7385,0.7676,80.5407
4199,2010-05-27,ETD,61.0629,-17.4763,-47.4318,0.9861,0.8468,-0.1242,0.0281,0.1242,-0.0966,0.2208,-0.2107,-0.0054,-0.2053,-1.0938,0.2492,147.1719
4200,2010-05-26,ETD,-26.7692,-54.6215,-90.7173,0.9099,0.8376,-0.192,-0.127,0.1251,-0.1199,0.245,-0.2589,-0.055,-0.204,-1.6949,-1.1338,110.6737
4201,2010-05-25,ETD,-92.7949,-82.717,-129.7905,0.9698,0.8856,-0.1692,-0.1833,0.1518,-0.1231,0.2749,-0.2515,-0.0613,-0.1902,-1.4888,-1.6262,-56.3063
4202,2010-05-24,ETD,-79.3814,-71.3234,-110.4727,0.9624,0.9138,-0.144,-0.2186,0.179,-0.1267,0.3057,-0.2442,-0.0693,-0.1749,-1.2623,-1.9275,-25.1572
4203,2010-05-21,ETD,-127.783,-88.4989,-132.0794,1.0435,0.9017,-0.117,-0.2304,0.2058,-0.1316,0.3374,-0.2394,-0.0819,-0.1576,-1.0212,-2.0203,-73.2726
4204,2010-05-20,ETD,-131.3371,-103.5651,-152.6888,0.9785,0.8627,-0.0722,-0.172,0.2418,-0.1285,0.3703,-0.2131,-0.076,-0.1371,-0.6256,-1.4966,-161.4583
4205,2010-05-19,ETD,-8.6068,-61.1789,-85.4227,1.0235,0.8935,0.005,-0.0202,0.2894,-0.113,0.4024,-0.1568,-0.0386,-0.1181,0.0427,-0.1742,-103.9519
4206,2010-05-18,ETD,55.9875,-39.9135,-46.3816,1.0348,0.9341,-0.0181,0.1052,0.3197,-0.111,0.4307,-0.138,-0.0295,-0.1084,-0.1547,0.904,-22.415
4207,2010-05-17,ETD,64.4698,-43.9846,-47.2691,1.0161,0.9465,-0.0961,0.1836,0.3416,-0.1168,0.4584,-0.1397,-0.0386,-0.1011,-0.8165,1.5831,-3.9429
4208,2010-05-14,ETD,26.3851,-64.0257,-69.7852,1.0109,0.9286,-0.2206,0.2219,0.3572,-0.1304,0.4876,-0.1594,-0.068,-0.0914,-1.8691,1.9256,-35.5614
4209,2010-05-13,ETD,104.5015,-30.9512,-14.1558,0.9901,0.9776,-0.3241,0.2344,0.3843,-0.1359,0.5202,-0.1558,-0.0814,-0.0744,-2.7316,2.0386,81.2672
4210,2010-05-12,ETD,105.7154,-29.4484,-8.485,0.9963,1.0109,-0.4718,0.15,0.4022,-0.152,0.5542,-0.1772,-0.1231,-0.0541,-3.9641,1.314,117.9348
